Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       55     0.00     0.00  testing::Message::Message()
  0.00      0.00     0.00       55     0.00     0.00  testing::internal::StringStreamToString(std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       52     0.00     0.00  testing::UnitTest::GetInstance()
  0.00      0.00     0.00       36     0.00     0.00  testing::TestResult::Failed() const
  0.00      0.00     0.00       27     0.00     0.00  testing::internal::TestEventRepeater::~TestEventRepeater()
  0.00      0.00     0.00       26     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0]
  0.00      0.00     0.00       22     0.00     0.00  testing::internal::(anonymous namespace)::IsGlobPattern(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       21     0.00     0.00  testing::internal::FlagToEnvVar(char const*)
  0.00      0.00     0.00       13     0.00     0.00  testing::internal::PrintColorEncoded(char const*) [clone .constprop.0]
  0.00      0.00     0.00       12     0.00     0.00  testing::internal::BoolFromGTestEnv(char const*, bool)
  0.00      0.00     0.00       12     0.00     0.00  void testing::internal::HandleExceptionsInMethodIfSupported<testing::Test, void>(testing::Test*, void (testing::Test::*)(), char const*)
  0.00      0.00     0.00       11     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > testing::internal::StreamableToString<int>(int const&)
  0.00      0.00     0.00        7     0.00     0.00  testing::internal::Mutex::Mutex()
  0.00      0.00     0.00        7     0.00     0.00  testing::FormatCountableNoun(int, char const*, char const*)
  0.00      0.00     0.00        7     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00        6     0.00     0.00  testing::internal::OsStackTraceGetter::UponLeavingGTest()
  0.00      0.00     0.00        6     0.00     0.00  testing::internal::StringFromGTestEnv(char const*, char const*)
  0.00      0.00     0.00        6     0.00     0.00  testing::internal::IsTrue(bool)
  0.00      0.00     0.00        5     0.00     0.00  testing::TestResult::~TestResult()
  0.00      0.00     0.00        5     0.00     0.00  testing::internal::(anonymous namespace)::UnitTestFilter::~UnitTestFilter()
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > testing::internal::StreamableToString<long>(long const&)
  0.00      0.00     0.00        4     0.00     0.00  testing::internal::SplitString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      0.00     0.00        4     0.00     0.00  testing::internal::NoExecDeathTest::AssumeRole()
  0.00      0.00     0.00        4     0.00     0.00  testing::internal::Int32FromEnvOrDie(char const*, int)
  0.00      0.00     0.00        4     0.00     0.00  testing::TestResult::Skipped() const
  0.00      0.00     0.00        4     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      0.00     0.00        3     0.00     0.00  maxValorRetirado(Jugo, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
  0.00      0.00     0.00        3     0.00     0.00  Jugo::Jugo(int, int, int)
  0.00      0.00     0.00        3     0.00     0.00  testing::AssertionSuccess()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::DeleteSelf_()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::HasFatalFailure()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::HasSameFixtureClass()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::IsSkipped()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::Test()
  0.00      0.00     0.00        3     0.00     0.00  testing::Test::~Test()
